Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,True,0,1102,0,1,2,0,2,0,94,3,2,0,4,0,5993,19479,9,True,11,3,1,0,8,0,1,6,4,0,5
49,False,1,279,1,8,1,0,3,1,61,2,2,1,2,1,5130,24907,2,False,23,4,4,1,10,3,3,10,7,1,7
37,True,0,1373,1,2,2,1,4,1,92,2,1,2,3,0,2090,2396,7,True,15,3,2,0,7,3,3,0,0,0,0
33,False,1,1392,1,3,4,0,4,0,56,3,1,1,3,1,2909,23159,2,True,11,3,3,0,8,3,3,8,7,3,0
27,False,0,591,1,2,1,2,1,1,40,3,1,2,2,1,3468,16632,10,False,12,3,4,1,6,3,3,2,2,2,2
32,False,1,1005,1,2,2,0,4,1,79,3,1,2,4,0,3068,11864,1,False,13,3,3,0,8,2,2,7,7,3,6
59,False,0,1324,1,3,3,2,3,0,81,4,1,2,1,1,2670,9964,5,True,20,4,1,3,12,3,2,1,0,0,0
30,False,0,1358,1,24,1,0,4,1,67,3,1,2,3,2,2693,13335,2,False,22,4,2,1,1,2,3,1,0,0,0
38,False,1,216,1,23,3,0,4,1,44,2,3,3,3,0,9526,8787,1,False,21,4,2,0,10,2,3,9,7,1,8
36,False,0,1299,1,27,3,2,3,1,94,3,2,4,3,1,5237,16577,7,False,13,3,2,2,17,3,2,7,7,7,7
35,False,0,809,1,16,3,2,1,1,84,4,1,2,2,1,2426,16479,1,False,13,3,3,1,6,5,3,5,4,0,3
29,False,0,153,1,15,2,0,4,0,49,2,2,2,3,0,4193,12682,1,True,12,3,4,0,10,3,3,9,5,0,8
31,False,0,670,1,26,1,0,1,1,31,3,1,1,3,2,2911,15170,2,False,17,3,4,1,5,1,2,5,2,4,3
34,False,0,1346,1,19,2,2,2,1,93,3,1,2,4,2,2661,8758,1,False,11,3,3,1,3,2,3,2,2,1,2
28,True,0,103,1,24,3,0,3,1,50,2,1,2,3,0,2028,12947,6,True,14,3,2,0,6,4,3,4,2,0,3
29,False,0,1389,1,21,4,0,2,0,51,4,3,3,1,2,9980,10195,2,False,11,3,3,1,10,1,3,10,9,8,8
32,False,0,334,1,5,2,0,1,1,80,4,1,1,2,2,3298,15053,1,True,12,3,4,2,7,5,2,6,2,0,5
22,False,2,1123,1,16,2,2,4,1,96,4,1,2,4,2,2935,7324,2,True,13,3,2,2,1,2,2,1,0,0,0
53,False,0,1219,0,2,4,0,1,0,78,2,4,5,4,1,15427,22021,3,False,16,3,3,0,31,3,3,25,8,3,7
